Kod;Nazwa;SB2004;SB2010;SB2021;SB2023
0201000;bolesławiecki;25.3;14.9;5.1;2.8
0202000;dzierżoniowski;31.7;22.3;5.5;5.5
0203000;głogowski;23.7;14.6;7.7;6.5
0204000;górowski;32.7;26.6;18.3;14.1
0205000;jaworski;30.7;23.6;10.8;9.9
0206000;karkonoski;27.1;22.9;10.5;8.5
0207000;kamiennogórski;29.3;22.1;6.6;6.1
0208000;kłodzki;32.9;24.7;12.5;11.7
0209000;legnicki;30.5;20.0;8.4;7.4
0210000;lubański;31.0;24.7;8.0;6.8
0211000;lubiński;17.6;9.7;4.0;3.7
0212000;lwówecki;33.7;24.7;9.5;8.7
0213000;milicki;24.6;17.6;5.8;6.2
0214000;oleśnicki;24.0;16.1;6.0;5.9
0215000;oławski;23.8;11.4;4.0;4.0
0216000;polkowicki;15.6;9.6;4.9;4.2
0217000;strzeliński;31.4;17.3;11.8;10.3
0218000;średzki;22.5;13.5;5.8;4.6
0219000;świdnicki;26.2;13.8;5.7;5.9
0220000;trzebnicki;26.8;13.6;5.1;5.0
0221000;wałbrzyski;29.1;19.1;13.9;11.5
0222000;wołowski;23.2;21.0;12.2;11.0
0223000;wrocławski;19.2;5.0;1.8;1.4
0224000;ząbkowicki;29.9;22.7;9.7;9.9
0225000;zgorzelecki;24.5;13.2;5.6;5.0
0226000;złotoryjski;34.9;26.6;13.8;13.2
0261000;Jelenia Góra;15.1;10.9;3.8;3.8
0262000;Legnica;20.3;9.2;5.2;4.4
0264000;Wrocław;12.3;5.5;1.9;1.6
0265000;Wałbrzych;;;4.8;4.3
0401000;aleksandrowski;29.7;20.6;13.5;11.0
0402000;brodnicki;25.6;15.9;6.7;6.6
0403000;bydgoski;21.1;12.7;3.9;3.1
0404000;chełmiński;28.1;22.0;12.8;11.7
0405000;golubsko-dobrzyński;28.1;21.2;12.1;10.2
0406000;grudziądzki;33.3;27.1;13.4;10.3
0407000;inowrocławski;29.6;21.7;12.4;10.4
0408000;lipnowski;29.8;28.9;15.6;12.8
0409000;mogileński;29.3;21.5;10.6;9.6
0410000;nakielski;33.9;22.9;11.6;9.8
0411000;radziejowski;26.1;22.9;18.7;15.6
0412000;rypiński;29.2;19.9;10.5;8.9
0413000;sępoleński;33.5;25.9;11.5;11.2
0414000;świecki;25.8;20.0;6.5;6.3
0415000;toruński;29.6;17.8;10.6;7.9
0416000;tucholski;29.9;19.8;10.6;10.6
0417000;wąbrzeski;31.0;21.0;11.7;12.1
0418000;włocławski;30.3;26.2;16.0;13.0
0419000;żniński;34.5;21.5;9.7;9.1
0461000;Bydgoszcz;11.4;8.0;2.5;2.2
0462000;Grudziądz;30.1;22.5;11.5;9.0
0463000;Toruń;13.2;8.2;4.0;3.1
0464000;Włocławek;21.8;19.5;8.7;8.2
0601000;bialski;18.4;14.0;11.1;8.8
0602000;biłgorajski;15.8;7.2;6.5;5.9
0603000;chełmski;22.5;17.7;17.5;12.2
0604000;hrubieszowski;20.2;18.3;18.1;14.7
0605000;janowski;16.7;13.9;13.8;11.8
0606000;krasnostawski;17.9;14.3;15.8;13.8
0607000;kraśnicki;16.4;15.7;11.5;11.0
0608000;lubartowski;20.3;15.9;13.8;11.7
0609000;lubelski;14.5;11.0;5.9;5.7
0610000;łęczyński;18.8;11.5;6.3;5.4
0611000;łukowski;19.5;11.0;4.3;3.9
0612000;opolski;23.5;16.3;9.1;9.3
0613000;parczewski;17.2;14.4;8.5;7.9
0614000;puławski;17.2;10.9;6.6;5.7
0615000;radzyński;17.3;13.9;8.2;7.5
0616000;rycki;20.1;12.2;7.9;6.7
0617000;świdnicki;20.8;18.1;9.7;7.3
0618000;tomaszowski;19.9;14.0;9.9;9.5
0619000;włodawski;23.8;23.0;17.6;15.3
0620000;zamojski;17.5;14.5;12.9;10.5
0661000;Biała Podlaska;20.5;13.9;9.1;7.3
0662000;Chełm;25.7;15.3;10.2;8.2
0663000;Lublin;12.4;9.6;5.2;4.3
0664000;Zamość;20.2;15.1;8.9;7.8
0801000;gorzowski;26.0;11.7;4.1;3.3
0802000;krośnieński;36.9;24.6;7.9;6.3
0803000;międzyrzecki;27.0;21.7;7.6;7.0
0804000;nowosolski;36.7;25.7;5.2;5.5
0805000;słubicki;26.4;19.0;2.5;2.2
0806000;strzelecko-drezdenecki;35.0;23.2;10.4;8.9
0807000;sulęciński;25.3;14.7;4.7;4.5
0808000;świebodziński;18.8;8.8;3.2;2.5
0809000;zielonogórski;27.0;13.9;8.6;6.6
0810000;żagański;34.3;27.9;7.1;5.2
0811000;żarski;31.2;17.4;5.9;5.0
0812000;wschowski;24.1;16.4;8.5;7.5
0861000;Gorzów Wielkopolski;17.9;8.1;2.6;2.2
0862000;Zielona Góra;13.2;7.7;3.5;2.9
1001000;bełchatowski;17.2;10.4;5.2;4.7
1002000;kutnowski;26.5;17.4;8.5;7.8
1003000;łaski;19.6;16.8;8.2;7.4
1004000;łęczycki;20.5;14.0;6.5;5.5
1005000;łowicki;15.0;10.0;5.6;4.6
1006000;łódzki wschodni;21.5;10.6;5.8;5.9
1007000;opoczyński;23.2;15.7;7.8;8.2
1008000;pabianicki;20.6;14.4;6.5;5.5
1009000;pajęczański;19.3;13.8;9.4;8.1
1010000;piotrkowski;17.9;12.4;6.8;6.1
1011000;poddębicki;17.1;13.2;7.8;7.2
1012000;radomszczański;23.7;15.2;5.3;4.9
1013000;rawski;14.5;8.6;3.4;3.2
1014000;sieradzki;18.8;12.5;5.7;5.4
1015000;skierniewicki;12.9;7.8;5.0;4.0
1016000;tomaszowski;25.6;17.7;8.0;7.6
1017000;wieluński;13.6;11.1;6.2;6.1
1018000;wieruszowski;13.7;11.5;5.1;4.6
1019000;zduńskowolski;21.5;13.2;6.5;6.7
1020000;zgierski;25.8;15.8;5.5;5.2
1021000;brzeziński;20.8;14.5;7.8;7.2
1061000;Łódź;18.4;10.0;5.8;4.4
1062000;Piotrków Trybunalski;15.9;11.1;5.6;5.3
1063000;Skierniewice;13.9;9.4;5.3;4.7
1201000;bocheński;14.5;8.8;4.4;2.3
1202000;brzeski;17.0;11.9;6.1;4.8
1203000;chrzanowski;21.1;13.9;7.4;6.1
1204000;dąbrowski;21.2;19.1;12.7;12.2
1205000;gorlicki;24.1;13.8;7.0;6.1
1206000;krakowski;13.5;11.4;5.5;4.4
1207000;limanowski;24.1;17.2;8.1;7.3
1208000;miechowski;13.3;9.7;5.3;5.2
1209000;myślenicki;16.9;12.8;3.2;3.0
1210000;nowosądecki;29.3;17.6;9.6;8.7
1211000;nowotarski;14.0;12.4;7.2;4.9
1212000;olkuski;19.0;14.2;7.5;6.7
1213000;oświęcimski;18.2;12.4;6.0;4.9
1214000;proszowicki;11.9;11.9;6.3;6.3
1215000;suski;14.4;10.4;5.5;4.7
1216000;tarnowski;18.5;13.6;8.2;6.7
1217000;tatrzański;13.1;10.0;8.1;8.1
1218000;wadowicki;15.5;12.0;5.6;5.4
1219000;wielicki;18.5;10.9;4.5;3.4
1261000;Kraków;7.5;4.7;2.8;1.9
1262000;Nowy Sącz;17.2;9.8;3.1;3.5
1263000;Tarnów;12.2;9.2;4.2;4.1
1401000;białobrzeski;20.0;14.7;9.1;7.4
1402000;ciechanowski;22.6;16.2;8.8;8.0
1403000;garwoliński;17.1;12.4;10.5;9.0
1404000;gostyniński;29.2;20.9;13.2;11.8
1405000;grodziski;13.4;6.5;3.5;2.8
1406000;grójecki;10.0;7.8;2.3;2.7
1407000;kozienicki;19.4;17.8;11.8;9.9
1408000;legionowski;21.9;11.2;7.4;5.8
1409000;lipski;19.3;15.6;13.2;12.5
1410000;łosicki;16.4;11.0;6.6;4.9
1411000;makowski;25.6;21.5;18.8;16.2
1412000;miński;17.9;9.5;4.9;4.5
1413000;mławski;28.6;14.1;5.9;5.9
1414000;nowodworski;21.5;12.4;6.3;5.6
1415000;ostrołęcki;25.1;17.7;11.5;9.3
1416000;ostrowski;19.7;17.1;9.8;8.6
1417000;otwocki;15.4;8.4;4.3;3.4
1418000;piaseczyński;9.6;7.4;3.1;3.5
1419000;płocki;29.7;20.1;13.0;9.6
1420000;płoński;24.0;16.6;9.5;9.9
1421000;pruszkowski;11.4;6.8;2.9;2.1
1422000;przasnyski;23.3;15.1;9.4;9.2
1423000;przysuski;28.5;26.5;19.3;18.8
1424000;pułtuski;25.0;19.7;15.1;13.3
1425000;radomski;35.2;30.8;19.0;16.5
1426000;siedlecki;17.7;11.1;5.1;4.8
1427000;sierpecki;26.1;21.2;14.7;11.5
1428000;sochaczewski;15.9;10.1;4.2;2.4
1429000;sokołowski;14.8;10.1;6.1;5.1
1430000;szydłowiecki;40.6;36.0;26.3;24.2
1432000;warszawski zachodni;11.7;5.9;1.8;1.6
1433000;węgrowski;21.8;15.2;7.1;5.3
1434000;wołomiński;21.7;13.1;7.5;5.8
1435000;wyszkowski;27.6;15.8;3.8;3.4
1436000;zwoleński;21.5;20.6;13.9;12.2
1437000;żuromiński;27.8;21.5;17.1;13.8
1438000;żyrardowski;19.1;13.7;9.8;8.5
1461000;Ostrołęka;24.0;15.1;8.2;7.5
1462000;Płock;19.6;11.0;6.1;5.4
1463000;Radom;28.2;22.7;10.5;9.4
1464000;Siedlce;15.8;9.6;4.3;3.5
1465000;st. Warszawa;6.2;3.5;1.7;1.4
1601000;brzeski;30.2;20.5;8.3;8.2
1602000;głubczycki;22.8;17.9;10.6;10.2
1603000;kędzierzyńsko-kozielski;15.7;13.1;8.1;7.3
1604000;kluczborski;24.3;15.5;7.9;6.8
1605000;krapkowicki;14.0;10.9;5.9;5.1
1606000;namysłowski;29.1;18.6;9.0;8.9
1607000;nyski;31.9;19.4;8.4;7.2
1608000;oleski;12.2;8.9;4.6;4.5
1609000;opolski;18.5;13.1;6.7;5.7
1610000;prudnicki;19.6;18.6;9.1;9.1
1611000;strzelecki;16.5;11.7;4.6;4.4
1661000;Opole;9.9;6.4;3.2;2.9
1801000;bieszczadzki;30.4;22.2;17.3;15.4
1802000;brzozowski;28.2;22.5;22.3;20.8
1803000;dębicki;19.0;11.7;5.3;4.7
1804000;jarosławski;19.8;18.5;13.3;10.6
1805000;jasielski;23.6;17.2;14.1;13.2
1806000;kolbuszowski;22.4;16.7;9.4;7.6
1807000;krośnieński;21.7;17.5;7.8;8.3
1808000;leżajski;20.6;18.3;17.4;14.5
1809000;lubaczowski;23.3;17.9;12.4;10.6
1810000;łańcucki;19.9;16.8;12.3;9.6
1811000;mielecki;15.8;13.9;5.1;5.2
1812000;niżański;23.9;23.6;18.6;16.4
1813000;przemyski;23.4;20.1;20.5;15.5
1814000;przeworski;18.9;18.4;15.9;13.6
1815000;ropczycko-sędziszowski;22.3;18.7;13.1;10.4
1816000;rzeszowski;19.0;13.1;9.8;7.6
1817000;sanocki;22.0;13.2;7.4;8.1
1818000;stalowowolski;15.7;14.7;5.6;4.8
1819000;strzyżowski;24.9;22.5;19.3;17.1
1820000;tarnobrzeski;18.9;14.8;9.0;7.4
1821000;leski;27.1;21.8;19.6;18.8
1861000;Krosno;8.1;7.4;2.4;2.9
1862000;Przemyśl;20.3;18.4;11.0;10.0
1863000;Rzeszów;9.4;7.6;4.9;4.1
1864000;Tarnobrzeg;18.5;14.2;8.9;7.0
2001000;augustowski;21.0;18.7;10.0;10.3
2002000;białostocki;17.2;17.6;9.5;7.5
2003000;bielski;10.3;9.6;4.4;4.4
2004000;grajewski;25.3;23.1;12.8;11.2
2005000;hajnowski;11.3;12.1;8.2;8.4
2006000;kolneński;20.9;18.9;18.2;15.3
2007000;łomżyński;15.9;11.6;5.7;5.2
2008000;moniecki;12.3;12.0;8.5;7.3
2009000;sejneński;24.6;18.9;12.3;10.3
2010000;siemiatycki;9.6;9.4;6.8;6.3
2011000;sokólski;17.5;16.5;12.3;11.1
2012000;suwalski;16.2;9.7;5.4;5.1
2013000;wysokomazowiecki;12.5;8.0;7.3;6.9
2014000;zambrowski;19.7;14.7;7.3;6.3
2061000;Białystok;13.3;12.3;6.1;5.1
2062000;Łomża;21.2;15.8;6.8;6.9
2063000;Suwałki;20.1;12.2;5.1;5.6
2201000;bytowski;35.9;22.0;9.1;9.3
2202000;chojnicki;27.5;18.2;8.5;8.6
2203000;człuchowski;34.3;24.7;11.5;9.9
2204000;gdański;20.6;7.8;4.8;3.9
2205000;kartuski;20.9;10.4;3.8;2.7
2206000;kościerski;24.7;15.2;7.3;7.4
2207000;kwidzyński;24.7;12.7;7.3;7.0
2208000;lęborski;31.0;19.9;10.7;10.5
2209000;malborski;32.4;23.4;9.0;8.2
2210000;nowodworski;42.4;29.0;13.9;11.4
2211000;pucki;20.9;12.6;6.3;5.8
2212000;słupski;35.2;22.5;10.1;7.3
2213000;starogardzki;30.9;19.2;6.1;5.6
2214000;tczewski;27.4;14.2;6.3;5.8
2215000;wejherowski;23.1;15.1;5.5;5.2
2216000;sztumski;39.6;23.8;7.4;5.1
2261000;Gdańsk;11.5;5.4;2.9;2.5
2262000;Gdynia;9.4;5.5;2.4;2.0
2263000;Słupsk;22.4;12.3;5.5;3.7
2264000;Sopot;8.5;3.9;1.7;1.9
2401000;będziński;24.2;14.5;7.2;5.4
2402000;bielski;15.0;9.3;3.9;3.0
2403000;cieszyński;15.8;10.0;5.5;5.1
2404000;częstochowski;22.5;17.3;8.4;6.3
2405000;gliwicki;17.0;9.5;5.1;3.5
2406000;kłobucki;17.0;12.2;8.5;7.4
2407000;lubliniecki;14.7;12.8;5.6;5.1
2408000;mikołowski;14.4;6.8;3.7;2.6
2409000;myszkowski;22.8;17.8;7.0;6.2
2410000;pszczyński;12.4;6.0;3.4;3.2
2411000;raciborski;13.8;8.2;4.9;3.3
2412000;rybnicki;21.1;11.4;5.9;4.6
2413000;tarnogórski;16.0;11.0;6.0;4.4
2414000;bieruńsko-lędziński;11.2;5.1;2.0;1.4
2415000;wodzisławski;17.5;10.1;5.9;5.3
2416000;zawierciański;24.3;17.2;5.6;5.5
2417000;żywiecki;15.6;14.1;6.7;5.0
2461000;Bielsko-Biała;10.1;6.0;2.2;1.9
2462000;Bytom;26.7;18.1;8.6;8.2
2463000;Chorzów;23.7;11.6;3.4;3.5
2464000;Częstochowa;16.2;11.5;3.6;3.2
2465000;Dąbrowa Górnicza;19.9;11.1;4.8;4.6
2466000;Gliwice;14.0;6.8;3.0;2.1
2467000;Jastrzębie-Zdrój;17.0;9.3;4.7;3.6
2468000;Jaworzno;22.7;11.1;4.6;4.0
2469000;Katowice;7.7;3.8;1.8;1.0
2470000;Mysłowice;17.0;9.2;6.0;4.2
2471000;Piekary Śląskie;21.9;14.5;6.9;7.3
2472000;Ruda Śląska;14.2;8.5;2.6;2.7
2473000;Rybnik;14.4;7.5;3.2;2.7
2474000;Siemianowice Śląskie;28.1;12.5;4.3;3.7
2475000;Sosnowiec;22.9;13.9;6.1;5.5
2476000;Świętochłowice;29.0;17.6;5.3;4.3
2477000;Tychy;13.1;5.8;2.1;1.7
2478000;Zabrze;23.4;12.5;5.2;4.2
2479000;Żory;22.6;11.5;3.7;3.2
2601000;buski;12.5;9.0;4.9;4.3
2602000;jędrzejowski;18.2;13.5;7.7;7.0
2603000;kazimierski;13.9;11.5;11.9;10.3
2604000;kielecki;28.5;18.8;9.5;6.9
2605000;konecki;32.1;22.1;11.6;10.2
2606000;opatowski;20.2;19.5;17.1;15.2
2607000;ostrowiecki;29.0;20.6;10.3;10.3
2608000;pińczowski;15.8;9.4;8.1;7.0
2609000;sandomierski;17.0;11.8;7.8;7.8
2610000;skarżyski;33.4;25.6;16.5;14.6
2611000;starachowicki;27.0;17.3;9.8;9.9
2612000;staszowski;17.7;11.8;6.7;6.9
2613000;włoszczowski;23.7;14.6;7.9;6.6
2661000;Kielce;15.7;10.6;5.2;4.6
2801000;bartoszycki;39.4;30.0;19.8;17.3
2802000;braniewski;40.5;30.9;18.6;14.4
2803000;działdowski;33.8;23.9;12.4;12.5
2804000;elbląski;35.8;26.7;14.7;12.5
2805000;ełcki;30.5;24.7;12.0;10.7
2806000;giżycki;34.4;19.2;8.9;9.0
2807000;iławski;24.6;11.3;4.2;4.2
2808000;kętrzyński;35.0;27.9;19.8;16.4
2809000;lidzbarski;37.2;26.3;12.7;10.3
2810000;mrągowski;31.9;22.0;9.7;8.4
2811000;nidzicki;34.8;20.3;6.0;6.8
2812000;nowomiejski;28.8;19.8;10.6;10.4
2813000;olecki;29.1;21.6;11.0;13.3
2814000;olsztyński;29.6;20.3;8.0;6.4
2815000;ostródzki;33.6;21.5;9.6;8.5
2816000;piski;40.6;31.5;14.3;12.1
2817000;szczycieński;32.3;26.1;9.3;8.8
2818000;gołdapski;40.8;22.1;9.1;7.9
2819000;węgorzewski;40.4;27.4;16.4;12.4
2861000;Elbląg;24.5;16.6;6.8;6.3
2862000;Olsztyn;10.8;6.9;2.2;2.1
3001000;chodzieski;23.6;15.2;7.5;7.5
3002000;czarnkowsko-trzcianecki;23.8;15.0;3.7;4.8
3003000;gnieźnieński;24.0;12.7;4.3;4.5
3004000;gostyński;18.6;12.5;5.4;5.1
3005000;grodziski;10.8;8.1;4.4;4.6
3006000;jarociński;24.2;15.2;4.9;4.3
3007000;kaliski;17.2;8.5;3.2;3.1
3008000;kępiński;8.9;5.6;1.7;1.6
3009000;kolski;24.1;14.4;3.6;3.9
3010000;koniński;27.5;18.1;9.9;8.3
3011000;kościański;17.2;9.0;2.8;3.0
3012000;krotoszyński;18.9;10.5;2.6;2.6
3013000;leszczyński;15.6;9.4;2.2;2.5
3014000;międzychodzki;21.9;8.7;5.8;4.6
3015000;nowotomyski;14.6;6.4;2.3;2.5
3016000;obornicki;21.1;10.3;3.7;3.0
3017000;ostrowski;20.4;11.8;2.8;3.0
3018000;ostrzeszowski;13.7;9.7;3.4;3.7
3019000;pilski;19.0;11.0;4.7;4.9
3020000;pleszewski;24.0;13.1;4.2;3.3
3021000;poznański;9.7;3.5;1.6;1.0
3022000;rawicki;12.5;11.7;3.5;3.6
3023000;słupecki;25.4;16.4;7.5;7.2
3024000;szamotulski;16.1;11.3;3.5;3.3
3025000;średzki;21.4;13.9;5.5;5.6
3026000;śremski;15.6;8.5;2.2;2.3
3027000;turecki;22.6;11.9;3.9;4.1
3028000;wągrowiecki;26.0;18.7;5.2;5.5
3029000;wolsztyński;11.4;6.4;2.1;1.9
3030000;wrzesiński;21.8;13.6;4.1;3.5
3031000;złotowski;26.9;18.8;4.8;5.0
3061000;Kalisz;14.7;8.6;3.2;3.2
3062000;Konin;18.4;13.5;6.3;5.6
3063000;Leszno;13.4;8.5;2.8;2.9
3064000;Poznań;6.7;3.6;1.6;1.0
3201000;białogardzki;39.0;30.8;17.2;16.0
3202000;choszczeński;36.8;26.1;18.1;15.6
3203000;drawski;40.4;25.9;13.0;10.9
3204000;goleniowski;29.2;18.4;4.4;3.8
3205000;gryficki;36.9;24.0;7.7;8.2
3206000;gryfiński;32.9;23.4;7.7;6.3
3207000;kamieński;34.8;27.0;15.8;13.5
3208000;kołobrzeski;21.1;12.5;4.3;2.0
3209000;koszaliński;38.7;26.7;13.9;10.9
3210000;myśliborski;29.6;16.9;6.3;6.2
3211000;policki;23.3;16.1;4.5;3.1
3212000;pyrzycki;36.0;28.3;12.1;10.2
3213000;sławieński;36.7;22.6;14.4;13.3
3214000;stargardzki;32.5;20.2;7.7;7.1
3215000;szczecinecki;36.7;26.4;14.9;14.3
3216000;świdwiński;40.7;27.5;12.9;13.1
3217000;wałecki;33.4;19.8;8.9;8.9
3218000;łobeski;42.7;27.6;16.0;15.8
3261000;Koszalin;20.8;11.0;5.5;4.2
3262000;Szczecin;15.3;9.7;3.3;3.6
3263000;Świnoujście;20.9;11.9;4.2;4.2
